feature,importance
centroid_dist_5min,2.6409730325648084
cnt_ic_5min,2.5385605643359894
gap_prev_sec_alert,2.298774254703837
cnt_cg_5min,2.1087980088141545
maxis,1.9899337991325976
log1p_cnt_lt20_20min,1.8584588998072378
log1p_cnt_cg_5min,1.6534584951618063
gap_prev_sec_airport,1.5539989216199261
cnt_10_20_10min,1.4930903342936717
cnt_lt20_20min,1.4690069212416206
log1p_gap_prev_sec_airport,1.4131001818185522
mean_x_rel_10min,1.316484022311972
centroid_dist_10min,1.2624331230945502
lt20_density_per_min_5min,1.2284822530418886
lt20_density_per_min_10min,1.1834805285003254
cnt_all_20min,1.0920105186565088
ratio_lt20_5min_over_30min,1.080731278602133
cnt_cg_10min,1.0314108887958784
mean_y_rel_60min,0.9924481748339369
cnt_ic_20min,0.9715057046347296
trend_cg_5min_minus_30min,0.962977984831174
close_activity_score_10min,0.957832868008695
log1p_close_activity_score_5min,0.9370650561886742
cnt_cg_30min,0.9307537854524875
trend_all_5min_minus_30min,0.9202559734126843
log1p_cnt_10_20_5min,0.9158486366054965
close_activity_score_5min,0.9032737310101097
azimuth,0.8745215255091464
diff_mean_dist_5min_minus_30min,0.8656762027646374
mean_x_rel_5min,0.8498176295103697
dist,0.8384813583466371
trend_lt10_5min_minus_20min,0.8308746670997009
log1p_gap_prev_sec_alert,0.8094043706338189
log1p_close_activity_score_10min,0.7055463634634711
cnt_all_5min,0.7034235176398298
log1p_cnt_cg_10min,0.6853858590671966
mean_maxis_20min,0.6849793170715213
trend_mean_dist_5min_minus_20min,0.6743679122614111
log1p_far_activity_score_10min,0.660037382687413
share_cg_30min,0.6598563140864805
cnt_cg_60min,0.6588759761996751
share_cg_20min,0.6588431287170426
airport,0.6577221505153455
elapsed_per_rank,0.6577069033501415
lon,0.6399665721579748
x_rel,0.6390353777591596
mean_abs_amp_60min,0.6384753653354595
log1p_cnt_ic_30min,0.6176907070909115
log1p_cnt_all_20min,0.6073761388821035
log1p_far_activity_score_20min,0.6037158359726418
trend_min_dist_5min_minus_30min,0.6024984194806283
ratio_far_vs_close_5min,0.5870173781746039
min_dist_5min,0.5863082928545506
lat,0.5746472684324415
trend_mean_dist_5min_minus_30min,0.5576892469920448
ratio_lt10_5min_over_30min,0.555105562732989
log1p_cnt_lt20_10min,0.5374710991835348
log1p_cnt_ic_5min,0.5091297470479655
doy_cos,0.5061671156948269
mean_x_rel_20min,0.5052049481800729
log1p_ratio_far_vs_close_10min,0.48151056684944055
mean_y_rel_30min,0.4704857769205638
ratio_lt20_10min_over_30min,0.46123904577717256
ratio_20_30_5min_over_30min,0.4610983156845874
log1p_ratio_far_vs_close_5min,0.4597117865222556
cnt_cg_20min,0.45856165617223904
trend_lt20_5min_minus_20min,0.4572212359390515
log1p_ratio_all_5min_over_20min,0.45100055518233645
log1p_ratio_all_10min_over_30min,0.4492531387545007
std_dist_20min,0.4477741392560696
diff_mean_dist_10min_minus_30min,0.44638869171443163
std_abs_amp_20min,0.43795134977927636
cnt_ic_10min,0.4349533175840037
log1p_cnt_all_60min,0.42273347275921014
mean_y_rel_20min,0.4209142798573609
cnt_ic_60min,0.4187880264970891
log1p_cnt_20_30_60min,0.4144805377439274
share_20_30_20min,0.4056331027934391
mean_x_rel_30min,0.39918944862655903
share_lt10_20min,0.39563643498298606
log1p_ratio_lt10_5min_over_20min,0.3933694089056305
diff_mean_dist_5min_minus_20min,0.3875097322589017
log1p_ratio_far_vs_close_30min,0.38037527565595075
log1p_ratio_cg_5min_over_30min,0.37699338866262944
norm_trend_lt20_5min_over_30min,0.37371093384924514
log1p_cnt_all_10min,0.37023456354965656
cnt_lt20_30min,0.36485203717517184
amplitude,0.3626118077184063
log1p_cnt_10_20_10min,0.3511413597938467
ratio_lt20_5min_over_20min,0.3470298063350765
mean_y_rel_10min,0.3442833432636397
mean_maxis_5min,0.3437597562341817
hour_cos,0.3354949795283876
log1p_ratio_cg_10min_over_30min,0.33245343168205665
norm_trend_lt20_10min_over_30min,0.331331348609296
mean_y_rel_5min,0.32982953155274963
std_dist_5min,0.3282959941506527
far_activity_score_10min,0.3231923980071099
dayofyear,0.3229005446415785
log1p_ratio_lt20_10min_over_30min,0.3157512962899182
log1p_ratio_lt20_5min_over_30min,0.3150396630143602
share_lt20_20min,0.3127515182415973
mean_maxis_10min,0.31262714774940553
ratio_all_5min_over_20min,0.3124795038753665
log1p_cnt_cg_30min,0.31212781686887336
log1p_cnt_20_30_5min,0.3114538020664509
ratio_far_vs_close_30min,0.30770728713532236
log1p_cnt_all_5min,0.3076779125459314
std_dist_30min,0.29728880348154185
max_abs_amp_5min,0.2963868825399192
mean_dist_10min,0.29327756373765945
cnt_all_10min,0.2906606173073095
std_dist_10min,0.28896127319994513
max_abs_amp_10min,0.28494563021282465
mean_x_rel_60min,0.28460842932501096
gap_vs_max_in_alert,0.2795905559572898
hour_sin,0.27850009040612483
ratio_all_5min_over_30min,0.2771490612126436
max_abs_amp_20min,0.2746249632314059
cnt_lt20_5min,0.2723526072314415
cnt_ic_30min,0.26867243234477145
ratio_far_vs_close_20min,0.2664630985648662
log1p_cnt_lt20_30min,0.25573555882112675
trend_min_dist_5min_minus_20min,0.25552983903179594
share_lt20_10min,0.25345233887553653
cnt_lt10_10min,0.2530699062795508
norm_trend_all_5min_over_30min,0.24340230766990492
amp_trend_in_alert,0.2344750501641587
min_dist_10min,0.23078881224673875
min_dist_20min,0.22862210272287573
doy_sin,0.22752661669540303
mean_maxis_30min,0.22683978601459953
cnt_lt20_60min,0.22593270191006354
trend_lt20_5min_minus_30min,0.22451100126127413
log1p_cnt_10_20_20min,0.2230375609990994
log1p_ratio_20_30_10min_over_30min,0.22226450320046162
cnt_10_20_60min,0.22212049660331742
trend_mean_dist_10min_minus_30min,0.21682979548376993
diff_mean_abs_amp_10min_minus_30min,0.21300704788226618
max_abs_amp_30min,0.21295864617200558
trend_lt10_10min_minus_30min,0.21174525673136788
log1p_cnt_lt20_5min,0.20592416740933223
hour,0.20012742885534396
cnt_20_30_60min,0.19763669014390126
centroid_dist_30min,0.19546624915124905
ratio_lt10_10min_over_30min,0.19545001051373148
cnt_20_30_5min,0.19401193725214858
log1p_max_gap_in_alert,0.19312700138671254
cnt_all_60min,0.192088146915748
log1p_ratio_lt10_10min_over_30min,0.19137281852548121
rank_in_alert,0.19133942952507071
max_abs_amp_60min,0.19000277615792865
mean_abs_amp_20min,0.1880320867650011
max_dist_20min,0.1863354124877297
log1p_cnt_lt20_60min,0.18625599698548836
centroid_dist_20min,0.1860115044244794
max_dist_10min,0.18526753008322175
std_abs_amp_5min,0.18492741415504857
log1p_ratio_20_30_5min_over_30min,0.18479261342442524
month,0.18310385325115267
log1p_elapsed_per_rank,0.18205322008351718
std_abs_amp_60min,0.1805795123043974
log1p_ratio_all_5min_over_30min,0.1800276558010567
share_20_30_10min,0.17979894216101
mean_maxis_60min,0.17388504679854025
diff_mean_abs_amp_5min_minus_30min,0.16939463053785772
ratio_cg_5min_over_20min,0.16803372298989655
share_lt20_30min,0.16591171497117796
cnt_20_30_30min,0.16478123196721225
mean_abs_amp_30min,0.16460282354644176
cnt_20_30_20min,0.1618659511357244
centroid_dist_60min,0.15993532360371635
norm_trend_all_10min_over_30min,0.1584400560393424
cnt_10_20_30min,0.1581249924828991
std_dist_60min,0.15712843321719203
ratio_all_10min_over_30min,0.15607996305800556
y_rel,0.15099347779635025
close_minus_far_30min,0.1500050233246936
max_gap_in_alert,0.1497045283199619
log1p_far_activity_score_5min,0.14635127459873123
log1p_ratio_cg_5min_over_20min,0.14279848373696952
log1p_ratio_far_vs_close_20min,0.1410988659887356
ratio_20_30_10min_over_30min,0.13860072461461104
min_dist_60min,0.13808402564556416
norm_trend_all_5min_over_20min,0.13728540613442863
close_minus_far_10min,0.13603025884248865
diff_mean_abs_amp_5min_minus_20min,0.1344426847498501
log1p_cnt_cg_20min,0.13341099108518922
mean_dist_60min,0.133359541813913
log1p_gap_vs_max_in_alert,0.13224138374629105
log1p_ratio_lt20_5min_over_20min,0.13103934565554906
ratio_cg_10min_over_30min,0.12970405090011347
trend_all_10min_minus_30min,0.12931181398369748
max_dist_5min,0.12798441634421456
max_dist_30min,0.1271685170086137
mean_dist_5min,0.12538170492650708
trend_20_30_5min_minus_30min,0.12457700764738106
max_dist_60min,0.12371522140510109
far_activity_score_5min,0.1218924008278852
log1p_elapsed_since_alert_start_sec,0.12091028472067529
mean_abs_amp_10min,0.1185794779721143
trend_20_30_5min_minus_20min,0.11561831669497336
share_lt10_30min,0.11141839052510909
share_20_30_5min,0.11064054842100746
close_activity_score_20min,0.10787633296764605
log1p_cnt_10_20_30min,0.10663177490507153
ratio_lt10_5min_over_20min,0.10590384012968534
log1p_cnt_10_20_60min,0.1043479966937115
cnt_lt20_10min,0.1021676974870029
log1p_close_activity_score_20min,0.0995637598029018
std_abs_amp_30min,0.09940986261712952
log1p_cnt_lt10_60min,0.09926699888345289
log1p_cnt_cg_60min,0.09916989134969176
elapsed_since_alert_start_sec,0.09795914373084151
share_lt20_5min,0.0944807714431437
close_minus_far_20min,0.09320216669038188
share_20_30_30min,0.09250935573861992
share_lt10_10min,0.09243443179868731
trend_cg_5min_minus_20min,0.09181464940257957
cnt_lt10_5min,0.0914165886881519
mean_abs_amp_5min,0.0874319646242809
mean_dist_20min,0.08645490146526356
log1p_ratio_20_30_5min_over_20min,0.08362969193459113
cnt_all_30min,0.08134577988600268
trend_20_30_10min_minus_30min,0.0803344052966685
gap_ratio_cg_lt20_vs_alert,0.07996013230715888
log1p_cnt_lt10_10min,0.07518381177978853
cnt_lt10_20min,0.07464027838214225
gap_since_last_lt10_sec,0.07362965816483015
trend_min_dist_10min_minus_30min,0.07341164573047251
log1p_cnt_ic_20min,0.06919064312416599
share_cg_10min,0.06909993849087535
cnt_10_20_20min,0.0673353726588927
far_activity_score_20min,0.06710674786042564
weekday,0.06648341963951289
std_abs_amp_10min,0.06614830011136312
log1p_cnt_ic_10min,0.06519864131626688
log1p_cnt_ic_60min,0.06405620093887066
log1p_ratio_lt10_5min_over_30min,0.06346671300703337
log1p_gap_since_last_lt10_sec,0.0626382864640732
norm_trend_lt20_5min_over_20min,0.056709306904321286
share_lt10_5min,0.05397071565547449
log1p_cnt_lt10_20min,0.05357771896208826
cnt_20_30_10min,0.04944664808758293
log1p_cnt_lt10_5min,0.04593302335670471
mean_dist_30min,0.045763975100469145
ratio_far_vs_close_10min,0.045286700491575335
trend_lt20_10min_minus_30min,0.04261484286700151
log1p_cnt_lt10_30min,0.042324437187073634
cnt_10_20_5min,0.04016289178796464
ratio_20_30_5min_over_20min,0.037469900429903356
log1p_cnt_20_30_10min,0.037351641105751794
cnt_lt10_60min,0.03635169650893805
min_dist_30min,0.034006511464524374
log1p_rank_in_alert,0.033076826797592676
share_cg_5min,0.03288320935516971
close_minus_far_5min,0.0300531746035107
gap_ratio_lt20_vs_alert,0.02954861753361703
log1p_cnt_all_30min,0.029180298267299464
trend_cg_10min_minus_30min,0.028648828288771813
trend_all_5min_minus_20min,0.023859893752116276
log1p_cnt_20_30_30min,0.023180026181316964
season,0.01923691638715249
trend_lt10_5min_minus_30min,0.007692342866661422
log1p_cnt_20_30_20min,0.007494202356962916
gap_since_last_cg_lt20_sec,0.0
log1p_gap_ratio_lt20_vs_alert,0.0
log1p_gap_ratio_cg_lt20_vs_alert,0.0
log1p_gap_ratio_cg_lt20_vs_airport,0.0
cnt_lt10_30min,0.0
ratio_cg_5min_over_30min,0.0
gap_ratio_cg_lt20_vs_airport,0.0
log1p_gap_since_last_lt20_sec,0.0
log1p_gap_since_last_cg_lt20_sec,0.0
gap_since_last_lt20_sec,0.0
