iter	Logloss
0	0.6465745207
1	0.6096862167
2	0.5757509608
3	0.5527225002
4	0.5289637813
5	0.5083649269
6	0.492137343
7	0.4806071525
8	0.4714514496
9	0.4628783817
10	0.4553396425
11	0.4494043764
12	0.4431351299
13	0.4374332453
14	0.4318997244
15	0.4279350261
16	0.4238167295
17	0.4215808062
18	0.4175321771
19	0.4151645973
20	0.4129312403
21	0.4106483573
22	0.4086332144
23	0.4066652128
24	0.4039809279
25	0.4012749507
26	0.3995583436
27	0.3980229625
28	0.3957156077
29	0.3935505738
30	0.3924665651
31	0.3899640736
32	0.387654199
33	0.3861923349
34	0.3845078514
35	0.3833414221
36	0.3811707741
37	0.3795038489
38	0.3783974831
39	0.3770768796
40	0.3762298136
41	0.3737681483
42	0.3720159714
43	0.3700697422
44	0.3688306569
45	0.3677686776
46	0.3664167274
47	0.3653690841
48	0.3639081324
49	0.3632046017
50	0.3619483048
51	0.3609248967
52	0.3588964411
53	0.3579944628
54	0.3567226022
55	0.3550350721
56	0.3531135866
57	0.3519979532
58	0.351484774
59	0.3497327059
60	0.3485118955
61	0.3475646483
62	0.3462468537
63	0.3449340142
64	0.3440634592
65	0.3419911156
66	0.3413818175
67	0.3405524661
68	0.3392551052
69	0.337883686
70	0.3367510753
71	0.3358798691
72	0.3346052196
73	0.3334583228
74	0.3324108089
75	0.3317312076
76	0.3307113981
77	0.3290444002
78	0.3280442345
79	0.3266111128
80	0.3253654249
81	0.3243648271
82	0.3235326757
83	0.3227334668
84	0.3214797261
85	0.3196636027
86	0.3182830027
87	0.3169139928
88	0.3160749575
89	0.3150770394
90	0.3144091168
91	0.3135703416
92	0.3125837679
93	0.3121338576
94	0.3110536018
95	0.3096375917
96	0.3083882282
97	0.3079357566
98	0.3072039721
99	0.3059185615
100	0.3050938398
101	0.3040914256
102	0.3033480731
103	0.3023802576
104	0.3015120419
105	0.3006846605
106	0.2999077483
107	0.299443894
108	0.2985711648
109	0.2979091463
110	0.2972469508
111	0.2965997027
112	0.2959821764
113	0.2959613678
114	0.2952934308
115	0.2943860312
116	0.2932731919
117	0.2922307203
118	0.2911926979
119	0.2907708578
120	0.2903417454
121	0.2900724804
122	0.2895988261
123	0.2889886912
124	0.2879977358
125	0.2872745858
126	0.2857683791
127	0.2848321637
128	0.2841478183
129	0.2834781759
130	0.2827083403
131	0.2819690325
132	0.2815331667
133	0.2811572791
134	0.2800820704
135	0.2793885896
136	0.2784927801
137	0.2779311621
138	0.2773652201
139	0.2767171473
140	0.2757009146
141	0.274630753
142	0.2737771398
143	0.2730612784
144	0.2720365648
145	0.2714323902
146	0.2711419971
147	0.2696230407
148	0.2692553215
149	0.2686224789
150	0.2679918458
151	0.2673642629
152	0.2668220146
153	0.2658634854
154	0.2652134205
155	0.2642373005
156	0.2635438973
157	0.2627490447
158	0.2624257108
159	0.2615177525
160	0.2608746984
161	0.2604183933
162	0.2599199136
163	0.2595503486
164	0.2589823959
165	0.2581773971
166	0.2574652595
167	0.2571054231
168	0.2566848011
169	0.2557276152
170	0.2553393054
171	0.254075259
172	0.2536609855
173	0.2527264387
174	0.2520379142
175	0.2516621157
176	0.2508861819
177	0.2504860866
178	0.2498578844
179	0.2493867359
180	0.2489221247
181	0.2482989163
182	0.2476404936
183	0.2468065745
184	0.2462468086
185	0.2454899543
186	0.2449575159
187	0.2444978547
188	0.2438187912
189	0.2429219223
190	0.2424845093
191	0.2414883669
192	0.2408287554
193	0.2398191656
194	0.2390093807
195	0.2386529732
196	0.2379947644
197	0.2372846018
198	0.2369060186
199	0.2364095375
200	0.236032366
201	0.2353314675
202	0.2346875615
203	0.2342355161
204	0.2335104089
205	0.2330957494
206	0.232790323
207	0.2318137387
208	0.2310418475
209	0.2306298719
210	0.2300218473
211	0.2295376268
212	0.2288204391
213	0.2282974412
214	0.2278861865
215	0.2273745932
216	0.2271636269
217	0.2268270905
218	0.2261253283
219	0.2256537186
220	0.2247744194
221	0.2245662522
222	0.2242600997
223	0.22362153
224	0.2229638639
225	0.2224186846
226	0.221726614
227	0.2212722255
228	0.220725179
229	0.220085588
230	0.219731995
231	0.2187643956
232	0.2180393142
233	0.2175832617
234	0.2170100278
235	0.2166208406
236	0.2163747864
237	0.2158488358
238	0.2153152072
239	0.214895928
240	0.2144488445
241	0.2138201816
242	0.2129430856
243	0.2125527245
244	0.211992149
245	0.2111737139
246	0.2107162662
247	0.210034399
248	0.2094730875
249	0.2087901076
250	0.2083044534
251	0.2075092237
252	0.2068783973
253	0.2065097418
254	0.2061764352
255	0.2056876933
256	0.2051444361
257	0.2046940884
258	0.204082086
259	0.203624041
260	0.2027833712
261	0.2023696072
262	0.2018468901
263	0.2013985205
264	0.2007545245
265	0.2002850766
266	0.1998617768
267	0.1993613768
268	0.1990917091
269	0.198515706
270	0.1979462998
271	0.1974962228
272	0.1970206055
273	0.1964790959
274	0.1958240026
275	0.1953412227
276	0.1949928312
277	0.1946220715
278	0.1941629039
279	0.1937138583
280	0.1930817145
281	0.1924676083
282	0.1920033373
283	0.1914326102
284	0.1909458267
285	0.1902988772
286	0.1897675514
287	0.1893303343
288	0.1888567736
289	0.1886542336
290	0.1878733004
291	0.187639008
292	0.1871609536
293	0.1868155287
294	0.1863580195
295	0.1859575675
296	0.1853370495
297	0.1848586378
298	0.1844889962
299	0.1842012851
300	0.1837437239
301	0.1834154959
302	0.1830121595
303	0.1823386698
304	0.1818803373
305	0.181511302
306	0.1809885182
307	0.1805555314
308	0.1801434287
309	0.1798476489
310	0.1794848828
311	0.1790301738
312	0.1784153435
313	0.1777222264
314	0.1773270784
315	0.176744053
316	0.1765412227
317	0.176158559
318	0.1756090467
319	0.1750153647
320	0.1745342863
321	0.1740095912
322	0.1736570137
