iter	Passed	Remaining
0	13	39245
1	27	41684
2	42	42033
3	54	41018
4	67	40522
5	81	40718
6	95	40929
7	110	41473
8	124	41402
9	138	41471
10	151	41234
11	170	42535
12	183	42218
13	197	42218
14	211	42027
15	225	42032
16	240	42222
17	254	42123
18	267	41927
19	280	41791
20	293	41702
21	309	41828
22	323	41910
23	338	42003
24	352	41896
25	366	41882
26	380	41847
27	394	41829
28	408	41858
29	422	41783
30	436	41764
31	449	41717
32	464	41730
33	478	41731
34	492	41725
35	506	41699
36	520	41687
37	533	41575
38	547	41535
39	560	41464
40	574	41435
41	588	41420
42	601	41387
43	615	41371
44	630	41380
45	645	41422
46	658	41365
47	671	41295
48	685	41269
49	699	41290
50	713	41249
51	726	41181
52	740	41162
53	753	41105
54	766	41042
55	780	41029
56	794	41001
57	807	40961
58	820	40890
59	835	40926
60	849	40917
61	863	40912
62	876	40873
63	890	40870
64	903	40809
65	918	40831
66	931	40792
67	945	40752
68	958	40730
69	971	40679
70	984	40624
71	998	40601
72	1012	40579
73	1025	40563
74	1039	40554
75	1053	40513
76	1067	40518
77	1080	40495
78	1095	40519
79	1109	40506
80	1123	40493
81	1136	40457
82	1150	40434
83	1163	40390
84	1177	40370
85	1191	40386
86	1205	40379
87	1219	40364
88	1233	40329
89	1245	40284
90	1259	40264
91	1272	40219
92	1286	40218
93	1299	40168
94	1314	40197
95	1327	40162
96	1341	40154
97	1355	40131
98	1368	40098
99	1381	40071
100	1395	40062
101	1409	40043
102	1423	40037
103	1436	40014
104	1449	39978
105	1462	39941
106	1476	39927
107	1488	39868
108	1502	39857
109	1515	39828
110	1529	39817
111	1542	39767
112	1555	39735
113	1561	39526
114	1576	39547
115	1592	39586
116	1607	39618
117	1621	39614
118	1635	39605
119	1650	39608
120	1664	39609
121	1680	39635
122	1693	39619
123	1707	39610
124	1723	39637
125	1736	39618
126	1751	39630
127	1765	39621
128	1779	39613
129	1793	39592
130	1807	39575
131	1820	39563
132	1838	39628
133	1853	39648
134	1869	39671
135	1883	39659
136	1897	39658
137	1912	39657
138	1926	39642
139	1939	39620
140	1953	39618
141	1968	39611
142	1982	39606
143	1996	39603
144	2010	39595
145	2023	39556
146	2036	39530
147	2051	39527
148	2063	39485
149	2080	39535
150	2095	39537
151	2109	39526
152	2125	39545
153	2140	39561
154	2155	39563
155	2170	39567
156	2183	39546
157	2197	39534
158	2211	39506
159	2225	39498
160	2239	39483
161	2252	39452
162	2265	39437
163	2278	39406
164	2292	39391
165	2306	39379
166	2320	39357
167	2334	39345
168	2347	39324
169	2361	39319
170	2375	39294
171	2390	39310
172	2403	39280
173	2417	39263
174	2430	39229
175	2443	39207
176	2457	39191
177	2470	39162
178	2483	39144
179	2498	39136
180	2511	39107
181	2524	39086
182	2537	39064
183	2551	39053
184	2566	39047
185	2579	39028
186	2592	38998
187	2606	38992
188	2621	38993
189	2636	38988
190	2648	38952
191	2662	38942
192	2675	38906
193	2688	38887
194	2703	38891
195	2716	38867
196	2730	38856
197	2744	38845
198	2758	38832
199	2772	38815
200	2785	38792
201	2798	38762
202	2811	38744
203	2825	38724
204	2839	38707
205	2851	38680
206	2865	38661
207	2881	38674
208	2895	38669
209	2908	38639
210	2921	38612
211	2934	38591
212	2948	38576
213	2962	38569
214	2976	38553
215	2989	38526
216	3001	38496
217	3015	38481
218	3029	38476
219	3043	38459
220	3057	38443
221	3069	38406
222	3082	38385
223	3096	38371
224	3109	38354
225	3123	38336
226	3136	38320
227	3150	38303
228	3163	38284
229	3177	38268
230	3190	38239
231	3204	38231
232	3219	38231
233	3232	38204
234	3246	38193
235	3258	38164
236	3271	38144
237	3285	38131
238	3299	38119
239	3312	38092
240	3325	38072
241	3339	38055
242	3353	38042
243	3365	38010
244	3378	37995
245	3391	37973
246	3405	37952
247	3419	37949
248	3434	37946
249	3448	37928
250	3462	37917
251	3475	37904
252	3488	37880
253	3502	37862
254	3515	37841
255	3529	37832
256	3543	37821
257	3557	37807
258	3570	37789
259	3584	37779
260	3598	37766
261	3611	37746
262	3625	37729
263	3639	37714
264	3652	37695
265	3665	37677
266	3678	37652
267	3690	37624
268	3703	37604
269	3717	37592
270	3731	37577
271	3744	37558
272	3759	37549
273	3772	37534
274	3786	37516
275	3799	37502
276	3818	37535
277	3832	37527
278	3846	37511
279	3859	37489
280	3873	37479
281	3888	37475
282	3900	37447
283	3914	37431
284	3927	37417
285	3941	37405
286	3955	37391
287	3968	37367
288	3982	37354
289	3995	37340
290	4009	37321
291	4021	37296
292	4034	37275
293	4047	37253
294	4060	37231
295	4073	37210
296	4087	37201
297	4101	37186
298	4113	37160
299	4126	37135
300	4140	37123
301	4153	37105
302	4166	37087
303	4180	37078
304	4193	37051
305	4207	37041
306	4221	37032
307	4236	37025
308	4249	37006
309	4262	36990
310	4277	36983
311	4290	36968
312	4304	36952
313	4318	36937
314	4330	36911
315	4343	36894
316	4357	36878
317	4369	36854
318	4383	36842
319	4397	36826
320	4411	36819
321	4425	36804
322	4439	36793
323	4453	36780
324	4465	36758
325	4479	36743
326	4494	36737
327	4507	36723
328	4521	36705
329	4534	36692
330	4547	36669
331	4561	36654
332	4574	36634
333	4586	36611
334	4600	36596
335	4614	36587
336	4627	36569
337	4641	36551
338	4654	36531
339	4667	36514
340	4681	36505
341	4695	36495
342	4709	36479
343	4723	36466
344	4736	36449
345	4748	36420
346	4761	36406
347	4776	36400
348	4791	36393
349	4803	36368
350	4817	36354
351	4831	36348
352	4845	36335
353	4859	36319
354	4873	36307
355	4886	36292
356	4899	36273
357	4911	36249
358	4924	36227
359	4937	36206
360	4949	36181
361	4962	36165
362	4975	36144
363	4988	36122
364	5001	36104
365	5015	36091
366	5028	36074
367	5042	36064
368	5056	36053
369	5069	36032
370	5081	36005
371	5096	36001
372	5109	35988
373	5123	35976
374	5137	35963
375	5151	35951
376	5166	35944
377	5181	35940
378	5193	35918
379	5207	35903
380	5221	35890
381	5235	35879
382	5248	35864
383	5261	35840
384	5274	35827
385	5288	35810
386	5301	35794
387	5315	35783
388	5328	35767
389	5341	35749
390	5354	35726
391	5367	35709
392	5380	35695
393	5394	35683
394	5408	35668
395	5422	35654
396	5435	35637
397	5448	35618
398	5460	35596
399	5475	35592
400	5489	35581
401	5502	35560
402	5515	35543
403	5530	35535
404	5544	35525
405	5559	35518
406	5571	35498
407	5586	35491
