feature,importance
cnt_lt20_30min,0.07212412186214306
decay_lt20,0.05188085388919422
log1p_cnt_lt20_5min,0.015916055817529973
cnt_all_10min,0.008210304473940278
cnt_lt20_10min,0.005812250418007481
cnt_lt20_5min,0.004545970562106871
decay_cg,0.004500638982671612
close_minus_far_10min,0.004047576026463551
drop_activity,0.003978761191869129
trend_dist_10min_minus_30min,0.0035392996861908776
cnt_20_30_10min,0.002380837604397279
dist,0.0015308137311850212
decay_all,0.0015055210055848756
cnt_all_30min,0.0010489054333485681
share_lt20_10min,0.0010336078491020029
doy_cos,0.0008799246455596377
isolated_event,0.00048641222945033924
moving_away,0.00021548286748218626
ratio_far_vs_close_10min,9.322694867663905e-05
doy_sin,1.2000190337535521e-05
month,8.76772848357188e-06
airport,2.3005566381906206e-06
amplitude,2.1300935736934257e-06
log1p_cnt_all_30min,0.0
log1p_cnt_all_10min,0.0
hour_sin,0.0
hour_cos,0.0
share_20_30_10min,0.0
maxis,0.0
log1p_ratio_far_vs_close_10min,0.0
log1p_cnt_lt20_10min,0.0
log1p_gap_dominance,0.0
gap_dominance,0.0
log1p_cnt_lt20_30min,0.0
log1p_cnt_20_30_10min,0.0
no_activity_10min,0.0
no_activity_5min,0.0
log1p_silence_ratio,0.0
log1p_silence_cg,0.0
log1p_silence_lt20,0.0
silence_ratio,0.0
silence_cg,0.0
silence_lt20,0.0
log1p_decay_cg,0.0
log1p_decay_all,0.0
log1p_decay_lt20,0.0
season,0.0
last_event_far,0.0
