feature,importance
log_check_time,12.088687806545051
check_time_min,7.115810425485864
gap_last3_mean,6.720943997021437
check_time_sec,6.429798791825875
azimuth,5.3740809238984
doy_cos,4.72279534439908
rank_in_alert,4.1422550848148205
dist_last3_mean,3.4639023667618214
season,3.193666626025724
elapsed_per_rank,3.0883472548343405
airport,2.983719950753241
dist_trend,2.964449568472847
abs_amplitude,2.9582883486257807
dist,2.8467044928760767
log_gap_prev,2.813296287673731
elapsed_sec,2.350291916597205
gap_mean_sofar,2.255971328165291
gap_prev,2.237307626872455
hour_sin,2.1772037118688403
gap_vs_max,1.9770837590525745
dist_mean_sofar,1.929772404858826
cg_in_last5,1.7906138471690727
gap_max_sofar,1.7798643402171483
gap_trend,1.5906171145736387
gap_vs_mean,1.4769150774139108
hour_cos,1.4351397202891643
lt20_in_last5,1.4294900332945275
log_rank,1.2316905049909905
log_elapsed,1.0473108908129287
doy_sin,1.0055477765552963
gap_is_new_max,0.9083738491415008
cg_in_last3,0.9035224991907153
gap_median_sofar,0.7890566868315972
log_gap_max_sofar,0.7774796420902229
is_20_30,0.0
is_cg,0.0
is_lt20,0.0
