alert_key,airport,airport_alert_id,start,end,n_lightnings_alert,n_cg_alert,n_ic_alert,min_dist,mean_dist,max_dist,last_label_count,last_label_exists,duration_min,cg_ratio,ic_ratio
Ajaccio__1,Ajaccio,1.0,2016-01-02 21:22:53+00:00,2016-01-02 21:28:54+00:00,5,5,0,14.794117478283528,15.68149419184861,17.561774469823227,True,True,6.016666666666667,1.0,0.0
Ajaccio__10,Ajaccio,10.0,2016-03-17 13:33:09+00:00,2016-03-17 13:33:09+00:00,1,1,0,15.29292996438877,15.29292996438877,15.29292996438877,True,True,0.0,1.0,0.0
Ajaccio__100,Ajaccio,100.0,2018-03-06 23:46:55+00:00,2018-03-06 23:53:50+00:00,6,6,0,13.446640728893824,14.938404640169926,17.760702744941398,True,True,6.916666666666667,1.0,0.0
Ajaccio__101,Ajaccio,101.0,2018-03-07 00:40:35+00:00,2018-03-07 00:40:35+00:00,2,2,0,13.753090740269684,14.518930784789104,15.284770829308524,True,True,0.0,1.0,0.0
Ajaccio__102,Ajaccio,102.0,2018-03-07 03:42:08+00:00,2018-03-07 03:44:12+00:00,2,2,0,16.715237921310504,17.370462652162438,18.02568738301437,True,True,2.066666666666667,1.0,0.0
Ajaccio__103,Ajaccio,103.0,2018-03-11 02:15:32+00:00,2018-03-11 02:55:37+00:00,3,3,0,3.7222309436742536,9.518158579008146,13.356372611477097,True,True,40.083333333333336,1.0,0.0
Ajaccio__104,Ajaccio,104.0,2018-03-11 16:18:08+00:00,2018-03-11 16:50:03+00:00,17,17,0,7.073910350717401,15.07121892602089,19.746886039896125,True,True,31.916666666666668,1.0,0.0
Ajaccio__105,Ajaccio,105.0,2018-03-11 20:23:15+00:00,2018-03-11 20:23:15+00:00,1,1,0,18.24357205968229,18.24357205968229,18.24357205968229,True,True,0.0,1.0,0.0
Ajaccio__106,Ajaccio,106.0,2018-03-11 22:05:25+00:00,2018-03-11 22:13:08+00:00,4,4,0,12.312124497136754,15.678779213595979,17.577078365770394,True,True,7.716666666666667,1.0,0.0
Ajaccio__107,Ajaccio,107.0,2018-03-12 00:02:04+00:00,2018-03-12 00:02:04+00:00,1,1,0,13.16962415948535,13.16962415948535,13.16962415948535,True,True,0.0,1.0,0.0
Ajaccio__108,Ajaccio,108.0,2018-03-12 00:35:17+00:00,2018-03-12 00:55:43+00:00,5,5,0,2.548223574940176,14.605404844585806,19.97439522912748,True,True,20.433333333333334,1.0,0.0
