rank_rev_in_alert,n,mean_dist,mean_amplitude,cg_ratio,target_rate
1,2627,14.736289470321596,-8.276220022839741,1.0,1.0
2,1682,14.579608054062541,-10.442122473246137,1.0,0.0
3,1336,14.176131608100942,-10.473375748502994,1.0,0.0
4,1133,14.119060363512911,-13.162153574580758,1.0,0.0
5,994,14.196460596991935,-12.936388329979879,1.0,0.0
6,920,14.032089678941494,-11.082326086956522,1.0,0.0
7,831,14.009335577430232,-12.601167268351384,1.0,0.0
8,764,13.946903834898123,-12.926178010471205,1.0,0.0
9,714,13.70469708186737,-14.25261904761905,1.0,0.0
10,676,13.751672664383275,-15.392026627218936,1.0,0.0
11,643,13.700474554971336,-12.08398133748056,1.0,0.0
12,607,13.483275822820222,-15.497825370675454,1.0,0.0
13,580,13.57822171175538,-13.039120689655173,1.0,0.0
14,551,13.567067401698209,-11.753992740471869,1.0,0.0
15,528,13.413182550814676,-13.019526515151515,1.0,0.0
16,508,13.483284811408481,-16.23740157480315,1.0,0.0
17,495,13.480261264811443,-10.231272727272726,1.0,0.0
18,479,13.429667207816827,-13.871670146137786,1.0,0.0
19,467,13.570567508717904,-11.973340471092078,1.0,0.0
20,455,13.704051449452235,-13.175032967032967,1.0,0.0
21,434,13.465925843788135,-12.349976958525346,1.0,0.0
22,425,13.343737249048532,-11.90790588235294,1.0,0.0
23,417,13.539426695697982,-11.440023980815347,1.0,0.0
24,404,13.437745592338107,-11.863267326732673,1.0,0.0
25,395,13.424853261476219,-13.956708860759493,1.0,0.0
26,385,13.3534787228665,-15.94722077922078,1.0,0.0
27,377,13.753211067966408,-13.02209549071618,1.0,0.0
28,368,13.476796672607083,-13.939864130434783,1.0,0.0
29,356,13.40340481671143,-13.346264044943819,1.0,0.0
30,352,13.980199736180145,-14.325482954545453,1.0,0.0
31,342,13.10158958918449,-9.949912280701755,1.0,0.0
32,331,13.49956227569829,-12.610996978851963,1.0,0.0
33,324,13.617856670546828,-13.683179012345681,1.0,0.0
34,319,13.750354810929457,-11.517586206896553,1.0,0.0
35,307,13.42795959178972,-14.913941368078175,1.0,0.0
36,305,13.255534725137627,-15.014032786885245,1.0,0.0
37,298,13.535049834860587,-14.053926174496643,1.0,0.0
38,292,13.386883866478493,-13.399383561643836,1.0,0.0
39,283,13.82332400047192,-14.79922261484099,1.0,0.0
40,276,13.367801955333828,-16.3513768115942,1.0,0.0
41,273,13.537664151453617,-18.070695970695972,1.0,0.0
42,266,13.65287015445697,-16.377857142857145,1.0,0.0
43,258,13.299914210395194,-12.853643410852712,1.0,0.0
44,255,13.155120896602945,-9.192980392156862,1.0,0.0
45,252,13.45813121725747,-15.127698412698413,1.0,0.0
46,244,13.21073615692869,-11.706229508196722,1.0,0.0
47,241,13.017216293029065,-12.22195020746888,1.0,0.0
48,239,13.574345575509067,-13.994560669456066,1.0,0.0
49,236,13.164845446648004,-12.602627118644067,1.0,0.0
50,231,13.391198016439787,-14.437445887445888,1.0,0.0
51,225,13.322821239678461,-17.810844444444445,1.0,0.0
52,223,13.392021742686682,-11.244484304932735,1.0,0.0
53,221,13.073976354053737,-14.712217194570137,1.0,0.0
54,215,13.367044138660576,-15.388372093023255,1.0,0.0
55,209,13.1521002579307,-15.578899521531099,1.0,0.0
56,207,13.048129877545,-14.411449275362319,1.0,0.0
57,204,13.823472635792779,-14.978186274509804,1.0,0.0
58,202,13.065832714555398,-15.228910891089107,1.0,0.0
59,199,13.30071185606049,-13.74,1.0,0.0
60,198,13.401923989803242,-10.556212121212122,1.0,0.0
61,196,13.334920732017538,-10.148010204081633,1.0,0.0
62,195,13.442948696444205,-10.810102564102563,1.0,0.0
63,194,13.22108543072069,-15.600927835051547,1.0,0.0
64,189,13.136698345326959,-12.156137566137568,1.0,0.0
65,185,13.675504405596891,-12.678594594594594,1.0,0.0
66,184,13.023128971021686,-12.764510869565218,1.0,0.0
67,179,13.191841077957823,-10.648379888268156,1.0,0.0
68,177,13.567153096507624,-14.951016949152542,1.0,0.0
69,174,13.326305174364943,-14.23683908045977,1.0,0.0
70,172,13.31525253382114,-11.374186046511628,1.0,0.0
71,171,13.306484237802364,-14.634795321637428,1.0,0.0
72,169,12.982990983788788,-9.522189349112425,1.0,0.0
73,169,13.237005570051403,-12.48189349112426,1.0,0.0
74,167,13.023165776325303,-13.670359281437126,1.0,0.0
75,163,12.671678219127234,-10.234601226993865,1.0,0.0
76,162,13.670290618071453,-15.33283950617284,1.0,0.0
77,160,12.677080598545546,-12.7430625,1.0,0.0
78,160,12.804001035898645,-9.229625,1.0,0.0
79,157,12.821584143030448,-10.937770700636943,1.0,0.0
80,155,13.010161180137365,-9.55941935483871,1.0,0.0
81,153,12.998084351630721,-14.811568627450981,1.0,0.0
82,150,13.165890149494036,-11.3012,1.0,0.0
83,149,12.871198852901195,-12.724228187919463,1.0,0.0
84,147,12.847938631888665,-12.509931972789117,1.0,0.0
85,146,13.095761749259566,-13.894246575342466,1.0,0.0
86,144,12.474404593291517,-9.06798611111111,1.0,0.0
87,144,12.93331275299234,-7.258402777777778,1.0,0.0
88,140,12.569868791054356,-13.488,1.0,0.0
89,140,13.673420101297118,-13.458285714285715,1.0,0.0
90,139,12.838113088265283,-11.010503597122302,1.0,0.0
91,137,12.986724328378605,-13.912116788321168,1.0,0.0
92,135,12.38616064596197,-13.328518518518518,1.0,0.0
93,133,12.741797207369693,-11.477593984962406,1.0,0.0
94,132,13.039248997909171,-8.033939393939393,1.0,0.0
95,132,13.026167273696041,-9.990681818181818,1.0,0.0
96,131,12.720106692554145,-14.344198473282441,1.0,0.0
97,128,12.298256400392283,-14.409921875,1.0,0.0
98,127,12.585005686345001,-13.054094488188976,1.0,0.0
99,126,12.316298538247056,-10.232142857142858,1.0,0.0
100,125,12.421914865422375,-9.07008,1.0,0.0
101,124,13.125267213763061,-15.60733870967742,1.0,0.0
102,122,12.5427647897897,-17.740081967213115,1.0,0.0
103,120,12.996273468836392,-8.388833333333332,1.0,0.0
104,116,12.982705540972164,-15.75801724137931,1.0,0.0
105,114,12.565016476098982,-10.859298245614035,1.0,0.0
106,114,12.421499234458743,-11.385526315789473,1.0,0.0
107,109,12.751382749681563,-9.568532110091743,1.0,0.0
108,108,12.721535828004384,-11.633425925925927,1.0,0.0
109,108,12.579926247166135,-12.826018518518518,1.0,0.0
110,107,13.202318625281894,-10.952336448598132,1.0,0.0
111,107,12.728517884006646,-11.86822429906542,1.0,0.0
112,106,12.964746523019308,-11.255849056603772,1.0,0.0
113,104,11.870580268529325,-10.64096153846154,1.0,0.0
114,104,13.320117978022914,-9.89576923076923,1.0,0.0
115,104,12.643155682175221,-5.353461538461539,1.0,0.0
116,101,13.355686609239076,-10.639108910891089,1.0,0.0
117,99,12.79286274632395,-5.955353535353535,1.0,0.0
118,97,12.997167772273965,-5.485670103092784,1.0,0.0
119,95,13.165800887167109,-10.290105263157894,1.0,0.0
120,91,13.561599617826442,-6.237362637362637,1.0,0.0
121,90,12.784537781473222,-10.093555555555556,1.0,0.0
122,89,12.093938996395199,-8.308876404494383,1.0,0.0
123,87,13.037051196381404,-7.62919540229885,1.0,0.0
124,87,13.399748607010107,-10.650689655172414,1.0,0.0
125,86,13.284590129498287,-11.949883720930233,1.0,0.0
126,84,13.382523111168961,-7.891071428571429,1.0,0.0
127,84,12.772535661905502,-12.8475,1.0,0.0
128,83,12.595602536876399,-10.488313253012048,1.0,0.0
129,83,12.846165485218373,-9.908313253012048,1.0,0.0
130,83,12.988933794455114,-13.480843373493974,1.0,0.0
131,83,13.594743953257842,-6.816144578313253,1.0,0.0
132,82,12.721289475622074,-16.965731707317072,1.0,0.0
133,82,12.359180638242274,-6.385609756097561,1.0,0.0
134,81,12.94709341479976,-9.988395061728395,1.0,0.0
135,81,13.10747970609739,-16.248271604938274,1.0,0.0
136,81,14.154441782339582,-14.24679012345679,1.0,0.0
137,80,13.644262969542973,-12.915875,1.0,0.0
138,80,13.493234424136782,-6.9094999999999995,1.0,0.0
139,79,12.429080406297762,-10.95632911392405,1.0,0.0
140,79,12.972983262397914,-14.929620253164558,1.0,0.0
141,79,12.7916463083303,-16.664303797468353,1.0,0.0
142,79,13.51986546450707,-9.202784810126582,1.0,0.0
143,79,13.03517491282186,-2.7373417721518987,1.0,0.0
144,77,13.377076123628575,-8.077142857142858,1.0,0.0
145,77,13.867027510017932,0.43233766233766235,1.0,0.0
