feature,importance
cnt_cg_5min,0.43931428
cnt_lt20_5min,0.052821927
close_activity_score_5min,0.03586253
cnt_cg_10min,0.012770696
cnt_lt20_10min,0.012142786
cnt_cg_20min,0.009590898
gap_prev_sec_alert,0.00760854
ratio_lt20_5min_over_20min,0.0070408415
gap_prev_sec_airport,0.0066390885
diff_mean_dist_10min_minus_30min,0.0060138837
close_activity_score_20min,0.0059117167
ratio_20_30_5min_over_30min,0.0057777995
min_dist_5min,0.0057648155
far_activity_score_10min,0.005202011
trend_cg_5min_minus_30min,0.0051998897
cnt_cg_30min,0.0050836657
min_dist_30min,0.0050816885
x_rel,0.005070848
close_activity_score_10min,0.0049922774
mean_dist_10min,0.0049718553
share_20_30_5min,0.004949034
cnt_all_10min,0.004915742
max_dist_10min,0.004841778
share_20_30_20min,0.0048372685
close_minus_far_10min,0.0047683357
max_abs_amp_5min,0.004758525
trend_20_30_10min_minus_30min,0.004711957
trend_all_5min_minus_30min,0.0046906467
trend_all_5min_minus_20min,0.0046768477
max_dist_30min,0.004657444
mean_maxis_20min,0.0046546822
cnt_20_30_30min,0.00462069
ratio_lt20_5min_over_30min,0.0046112593
mean_abs_amp_20min,0.0045071156
cnt_20_30_20min,0.004498267
trend_min_dist_10min_minus_30min,0.0044443877
doy_cos,0.004258171
mean_dist_5min,0.0042531663
trend_min_dist_5min_minus_30min,0.0042128153
maxis,0.0042004213
ratio_20_30_10min_over_30min,0.0041903825
max_dist_20min,0.0041787736
diff_mean_dist_5min_minus_20min,0.0041668536
close_minus_far_20min,0.0041380893
close_minus_far_30min,0.004087104
diff_mean_abs_amp_5min_minus_30min,0.0040573687
diff_mean_dist_5min_minus_30min,0.0040214537
max_abs_amp_10min,0.0040177517
mean_maxis_5min,0.0040064193
rank_in_alert,0.0039944393
share_lt20_10min,0.003988109
trend_20_30_5min_minus_20min,0.003988094
ratio_cg_5min_over_20min,0.0039504287
ratio_all_5min_over_30min,0.003945084
max_abs_amp_30min,0.003886511
cnt_all_20min,0.003865032
cnt_all_60min,0.0038119797
elapsed_per_rank,0.0037737978
elapsed_since_alert_start_sec,0.0037582645
far_activity_score_20min,0.0037566673
cnt_20_30_5min,0.0037557848
share_cg_30min,0.0037533457
y_rel,0.0037506234
trend_cg_10min_minus_30min,0.0037159706
trend_lt20_10min_minus_30min,0.0036945373
max_dist_5min,0.0036861983
share_lt20_5min,0.003685361
min_dist_10min,0.0036781018
ratio_20_30_5min_over_20min,0.0036729677
dist,0.0036517184
max_abs_amp_20min,0.003636345
share_lt20_20min,0.003628623
share_cg_5min,0.003615401
trend_lt20_5min_minus_30min,0.0035906304
cnt_lt20_20min,0.0035741664
ratio_lt20_10min_over_30min,0.0035522417
close_minus_far_5min,0.003540787
trend_all_10min_minus_30min,0.003539361
ratio_cg_5min_over_30min,0.0035279556
mean_dist_20min,0.0035220329
azimuth,0.0035065394
mean_abs_amp_30min,0.0034890168
far_activity_score_5min,0.0034861227
doy_sin,0.0034860866
diff_mean_abs_amp_10min_minus_30min,0.0034650797
trend_min_dist_5min_minus_20min,0.0034476013
mean_maxis_30min,0.003427589
min_dist_20min,0.0034158828
ratio_all_5min_over_20min,0.0033944282
hour,0.003386644
mean_abs_amp_5min,0.0033285902
mean_dist_30min,0.0033260833
airport,0.0032910882
share_cg_10min,0.0032720226
hour_sin,0.0032673788
hour_cos,0.0032282951
amplitude,0.0031738319
diff_mean_abs_amp_5min_minus_20min,0.003169371
ratio_all_10min_over_30min,0.0031486612
cnt_all_30min,0.003126441
share_20_30_30min,0.0030890196
mean_maxis_10min,0.0030844451
trend_cg_5min_minus_20min,0.0030826554
share_20_30_10min,0.0030506821
ratio_cg_10min_over_30min,0.0030404415
mean_abs_amp_10min,0.0030288484
month,0.0030261176
trend_lt20_5min_minus_20min,0.0030138318
weekday,0.0029389067
share_lt20_30min,0.0028081078
trend_20_30_5min_minus_30min,0.0027839097
cnt_all_5min,0.002701938
share_cg_20min,0.0025774199
cnt_lt20_30min,0.0023779306
season,0.0021110177
cnt_20_30_10min,0.0018863584
log1p_far_activity_score_5min,0.0010835615
log1p_far_activity_score_20min,0.00019276844
log1p_gap_prev_sec_alert,0.0
gap_since_last_lt20_sec,0.0
log1p_gap_prev_sec_airport,0.0
gap_since_last_cg_lt20_sec,0.0
log1p_gap_since_last_cg_lt20_sec,0.0
log1p_gap_since_last_lt20_sec,0.0
log1p_cnt_all_5min,0.0
log1p_elapsed_since_alert_start_sec,0.0
log1p_cnt_cg_10min,0.0
log1p_cnt_cg_5min,0.0
log1p_cnt_20_30_30min,0.0
log1p_cnt_20_30_20min,0.0
log1p_cnt_20_30_10min,0.0
log1p_cnt_20_30_5min,0.0
log1p_cnt_lt20_30min,0.0
log1p_cnt_lt20_20min,0.0
log1p_cnt_lt20_10min,0.0
log1p_cnt_lt20_5min,0.0
log1p_cnt_all_60min,0.0
log1p_cnt_all_30min,0.0
log1p_cnt_all_20min,0.0
log1p_cnt_all_10min,0.0
log1p_cnt_cg_30min,0.0
log1p_cnt_cg_20min,0.0
norm_trend_all_10min_over_30min,0.0
norm_trend_all_5min_over_30min,0.0
norm_trend_lt20_5min_over_30min,0.0
norm_trend_lt20_5min_over_20min,0.0
norm_trend_all_5min_over_20min,0.0
norm_trend_lt20_10min_over_30min,0.0
ratio_far_vs_close_10min,0.0
ratio_far_vs_close_5min,0.0
ratio_far_vs_close_20min,0.0
ratio_far_vs_close_30min,0.0
log1p_ratio_far_vs_close_10min,0.0
log1p_ratio_far_vs_close_5min,0.0
log1p_ratio_far_vs_close_30min,0.0
log1p_ratio_far_vs_close_20min,0.0
log1p_gap_ratio_cg_lt20_vs_airport,0.0
log1p_gap_ratio_cg_lt20_vs_alert,0.0
log1p_gap_ratio_lt20_vs_alert,0.0
gap_ratio_cg_lt20_vs_airport,0.0
gap_ratio_cg_lt20_vs_alert,0.0
gap_ratio_lt20_vs_alert,0.0
trend_dist_5min_minus_30min,0.0
trend_dist_10min_minus_30min,0.0
trend_dist_5min_minus_20min,0.0
log1p_elapsed_per_rank,0.0
log1p_close_activity_score_10min,0.0
log1p_close_activity_score_5min,0.0
log1p_close_activity_score_20min,0.0
log1p_far_activity_score_10min,0.0
lt20_density_per_min_5min,0.0
lt20_density_per_min_10min,0.0
